ID,Sampling,Treatment,Quadrat,Quadrat_code,Depth,Rugosity,Sponge_cover,Coral_Cover,Other_cover
1Low1SC1,1,Low,1,SC1,6.2,0.59,3.333333333,60,36.66666667
1Low2SC2,1,Low,2,SC2,6.5,0.763333333,0,50,50
1Low3SC3,1,Low,3,SC3,7.3,0.635,3.333333333,73.33333333,23.33333333
1Low4SC4,1,Low,4,SC4,8.4,0.688888889,10,50,40
1Low5SC5,1,Low,5,SC5,7.8,0.714444444,3.333333333,63.33333333,33.33333333
1Low6SC6,1,Low,6,SC6,8.6,0.58,0,66.66666667,33.33333333
1Low7SC7,1,Low,7,SC7,7.9,0.692222222,3.333333333,76.66666667,20
1Low8SC8,1,Low,8,SC8,6.5,0.625555556,0,46.66666667,53.33333333
1Low9SC9,1,Low,9,SC9,7.6,0.643333333,0,46.66666667,53.33333333
1Low10SC10,1,Low,10,SC10,7.5,0.59,0,56.66666667,43.33333333
1Low11SC11,1,Low,11,SC11,7.8,0.681111111,3.333333333,53.33333333,43.33333333
1Low12SC12,1,Low,12,SC12,9,0.726666667,0,53.33333333,46.66666667
1Med1SM1,1,Med,1,SM1,7.8,0.64,10,53.33333333,36.66666667
1Med2SM2,1,Med,2,SM2,5.8,0.67,10,33.33333333,56.66666667
1Med3SM3,1,Med,3,SM3,7.5,0.491666667,13.33333333,36.66666667,50
1Med4SM4,1,Med,4,SM4,7.5,0.566666667,10,46.66666667,43.33333333
1Med5SM5,1,Med,5,SM5,6.6,0.605,10,60,30
1Med6SM6,1,Med,6,SM6,8.5,0.702222222,13.33333333,43.33333333,43.33333333
1Med7SM7,1,Med,7,SM7,8.8,0.666666667,6.666666667,50,43.33333333
1Med8SM8,1,Med,8,SM8,9.5,0.602222222,10,60,30
1Med9SM9,1,Med,9,SM9,8.8,0.635555556,13.33333333,46.66666667,40
1Med10SM10,1,Med,10,SM10,6.2,0.682222222,13.33333333,33.33333333,53.33333333
1Med11SM11,1,Med,11,SM11,8.8,0.624444444,13.33333333,46.66666667,40
1Med12SM12,1,Med,12,SM12,8.8,0.591111111,13.33333333,36.66666667,50
1High1SH1,1,High,1,SH1,6.1,0.586666667,33.33333333,40,26.66666667
1High2SH2,1,High,2,SH2,8.1,0.406666667,16.66666667,46.66666667,36.66666667
1High3SH3,1,High,3,SH3,7.9,0.416666667,26.66666667,26.66666667,46.66666667
1High4SH4,1,High,4,SH4,7,0.638333333,26.66666667,50,23.33333333
1High5SH5,1,High,5,SH5,7.4,0.645,26.66666667,50,23.33333333
1High6SH6,1,High,6,SH6,7.2,0.693333333,40,40,20
1High7SH7,1,High,7,SH7,7.6,0.671666667,20,40,40
1High8SH8,1,High,8,SH8,7.9,0.683333333,16.66666667,40,43.33333333
1High9SH9,1,High,9,SH9,7.5,0.675555556,23.33333333,20,56.66666667
1High10SH10,1,High,10,SH10,7,0.653333333,23.33333333,36.66666667,40
1High11SH11,1,High,11,SH11,9,0.63,36.66666667,26.66666667,36.66666667
1High12SH12,1,High,12,SH12,8.8,0.57,23.33333333,40,36.66666667
1Removal1SR1,1,Removal,1,SR1,7.5,0.68,26.66666667,53.33333333,20
1Removal2SR2,1,Removal,2,SR2,7,0.723333333,20,53.33333333,26.66666667
1Removal3SR3,1,Removal,3,SR3,8.1,0.577777778,16.66666667,50,33.33333333
1Removal4SR4,1,Removal,4,SR4,8.9,0.713333333,33.33333333,53.33333333,13.33333333
1Removal5SR5,1,Removal,5,SR5,8.2,0.685555556,30,30,40
1Removal6SR6,1,Removal,6,SR6,9,0.713333333,26.66666667,53.33333333,20
1Removal7SR7,1,Removal,7,SR7,6.7,0.651111111,40,30,30
1Removal8SR8,1,Removal,8,SR8,8.3,0.638888889,26.66666667,50,23.33333333
1Removal9SR9,1,Removal,9,SR9,8.1,0.682222222,23.33333333,46.66666667,30
1Removal10SR10,1,Removal,10,SR10,7.7,0.461111111,23.33333333,20,56.66666667
1Removal11SR11,1,Removal,11,SR11,9,0.703333333,26.66666667,46.66666667,26.66666667
1Removal12SR12,1,Removal,12,SR12,8.6,0.597777778,26.66666667,40,33.33333333
2Low1SC1,2,Low,1,SC1,6.2,0.59,3.333333333,60,36.66666667
2Low2SC2,2,Low,2,SC2,6.5,0.763333333,0,50,50
2Low3SC3,2,Low,3,SC3,7.3,0.635,3.333333333,73.33333333,23.33333333
2Low4SC4,2,Low,4,SC4,8.4,0.688888889,10,50,40
2Low5SC5,2,Low,5,SC5,7.8,0.714444444,3.333333333,63.33333333,33.33333333
2Low6SC6,2,Low,6,SC6,8.6,0.58,0,66.66666667,33.33333333
2Low7SC7,2,Low,7,SC7,7.9,0.692222222,3.333333333,76.66666667,20
2Low8SC8,2,Low,8,SC8,6.5,0.625555556,0,46.66666667,53.33333333
2Low9SC9,2,Low,9,SC9,7.6,0.643333333,0,46.66666667,53.33333333
2Low10SC10,2,Low,10,SC10,7.5,0.59,0,56.66666667,43.33333333
2Low11SC11,2,Low,11,SC11,7.8,0.681111111,3.333333333,53.33333333,43.33333333
2Low12SC12,2,Low,12,SC12,9,0.726666667,0,53.33333333,46.66666667
2Med1SM1,2,Med,1,SM1,7.8,0.64,10,53.33333333,36.66666667
2Med2SM2,2,Med,2,SM2,5.8,0.67,10,33.33333333,56.66666667
2Med3SM3,2,Med,3,SM3,7.5,0.491666667,13.33333333,36.66666667,50
2Med4SM4,2,Med,4,SM4,7.5,0.566666667,10,46.66666667,43.33333333
2Med5SM5,2,Med,5,SM5,6.6,0.605,10,60,30
2Med6SM6,2,Med,6,SM6,8.5,0.702222222,13.33333333,43.33333333,43.33333333
2Med7SM7,2,Med,7,SM7,8.8,0.666666667,6.666666667,50,43.33333333
2Med8SM8,2,Med,8,SM8,9.5,0.602222222,10,60,30
2Med9SM9,2,Med,9,SM9,8.8,0.635555556,13.33333333,46.66666667,40
2Med10SM10,2,Med,10,SM10,6.2,0.682222222,13.33333333,33.33333333,53.33333333
2Med11SM11,2,Med,11,SM11,8.8,0.624444444,13.33333333,46.66666667,40
2Med12SM12,2,Med,12,SM12,8.8,0.591111111,13.33333333,36.66666667,50
2High1SH1,2,High,1,SH1,6.1,0.586666667,33.33333333,40,26.66666667
2High2SH2,2,High,2,SH2,8.1,0.406666667,16.66666667,46.66666667,36.66666667
2High3SH3,2,High,3,SH3,7.9,0.416666667,26.66666667,26.66666667,46.66666667
2High4SH4,2,High,4,SH4,7,0.638333333,26.66666667,50,23.33333333
2High5SH5,2,High,5,SH5,7.4,0.645,26.66666667,50,23.33333333
2High6SH6,2,High,6,SH6,7.2,0.693333333,40,40,20
2High7SH7,2,High,7,SH7,7.6,0.671666667,20,40,40
2High8SH8,2,High,8,SH8,7.9,0.683333333,16.66666667,40,43.33333333
2High9SH9,2,High,9,SH9,7.5,0.675555556,23.33333333,20,56.66666667
2High10SH10,2,High,10,SH10,7,0.653333333,23.33333333,36.66666667,40
2High11SH11,2,High,11,SH11,9,0.63,36.66666667,26.66666667,36.66666667
2High12SH12,2,High,12,SH12,8.8,0.57,23.33333333,40,36.66666667
2Removal1SR1,2,Removal,1,SR1,7.5,0.68,26.66666667,53.33333333,20
2Removal2SR2,2,Removal,2,SR2,7,0.723333333,20,53.33333333,26.66666667
2Removal3SR3,2,Removal,3,SR3,8.1,0.577777778,16.66666667,50,33.33333333
2Removal4SR4,2,Removal,4,SR4,8.9,0.713333333,33.33333333,53.33333333,13.33333333
2Removal5SR5,2,Removal,5,SR5,8.2,0.685555556,30,30,40
2Removal6SR6,2,Removal,6,SR6,9,0.713333333,26.66666667,53.33333333,20
2Removal7SR7,2,Removal,7,SR7,6.7,0.651111111,40,30,30
2Removal8SR8,2,Removal,8,SR8,8.3,0.638888889,26.66666667,50,23.33333333
2Removal9SR9,2,Removal,9,SR9,8.1,0.682222222,23.33333333,46.66666667,30
2Removal10SR10,2,Removal,10,SR10,7.7,0.461111111,23.33333333,20,56.66666667
2Removal11SR11,2,Removal,11,SR11,9,0.703333333,26.66666667,46.66666667,26.66666667
2Removal12SR12,2,Removal,12,SR12,8.6,0.597777778,26.66666667,40,33.33333333
3Removal1SR1,3,Removal,1,SR1,7.5,0.68,26.66666667,53.33333333,20
3Removal2SR2,3,Removal,2,SR2,7,0.723333333,20,53.33333333,26.66666667
3Removal3SR3,3,Removal,3,SR3,8.1,0.577777778,16.66666667,50,33.33333333
3Removal4SR4,3,Removal,4,SR4,8.9,0.713333333,33.33333333,53.33333333,13.33333333
3Removal5SR5,3,Removal,5,SR5,8.2,0.685555556,30,30,40
3Removal6SR6,3,Removal,6,SR6,9,0.713333333,26.66666667,53.33333333,20
3Removal7SR7,3,Removal,7,SR7,6.7,0.651111111,40,30,30
3Removal8SR8,3,Removal,8,SR8,8.3,0.638888889,26.66666667,50,23.33333333
3Removal9SR9,3,Removal,9,SR9,8.1,0.682222222,23.33333333,46.66666667,30
3Removal10SR10,3,Removal,10,SR10,7.7,0.461111111,23.33333333,20,56.66666667
3Removal11SR11,3,Removal,11,SR11,9,0.703333333,26.66666667,46.66666667,26.66666667
3Removal12SR12,3,Removal,12,SR12,8.6,0.597777778,26.66666667,40,33.33333333
3Low1SC1,3,Low,1,SC1,6.2,0.59,3.333333333,60,36.66666667
3Low2SC2,3,Low,2,SC2,6.5,0.763333333,0,50,50
3Low3SC3,3,Low,3,SC3,7.3,0.635,3.333333333,73.33333333,23.33333333
3Low4SC4,3,Low,4,SC4,8.4,0.688888889,10,50,40
3Low5SC5,3,Low,5,SC5,7.8,0.714444444,3.333333333,63.33333333,33.33333333
3Low6SC6,3,Low,6,SC6,8.6,0.58,0,66.66666667,33.33333333
3Low7SC7,3,Low,7,SC7,7.9,0.692222222,3.333333333,76.66666667,20
3Low8SC8,3,Low,8,SC8,6.5,0.625555556,0,46.66666667,53.33333333
3Low9SC9,3,Low,9,SC9,7.6,0.643333333,0,46.66666667,53.33333333
3Low10SC10,3,Low,10,SC10,7.5,0.59,0,56.66666667,43.33333333
3Low11SC11,3,Low,11,SC11,7.8,0.681111111,3.333333333,53.33333333,43.33333333
3Low12SC12,3,Low,12,SC12,9,0.726666667,0,53.33333333,46.66666667
3Med1SM1,3,Med,1,SM1,7.8,0.64,10,53.33333333,36.66666667
3Med2SM2,3,Med,2,SM2,5.8,0.67,10,33.33333333,56.66666667
3Med3SM3,3,Med,3,SM3,7.5,0.491666667,13.33333333,36.66666667,50
3Med4SM4,3,Med,4,SM4,7.5,0.566666667,10,46.66666667,43.33333333
3Med5SM5,3,Med,5,SM5,6.6,0.605,10,60,30
3Med6SM6,3,Med,6,SM6,8.5,0.702222222,13.33333333,43.33333333,43.33333333
3Med7SM7,3,Med,7,SM7,8.8,0.666666667,6.666666667,50,43.33333333
3Med8SM8,3,Med,8,SM8,9.5,0.602222222,10,60,30
3Med9SM9,3,Med,9,SM9,8.8,0.635555556,13.33333333,46.66666667,40
3Med10SM10,3,Med,10,SM10,6.2,0.682222222,13.33333333,33.33333333,53.33333333
3Med11SM11,3,Med,11,SM11,8.8,0.624444444,13.33333333,46.66666667,40
3Med12SM12,3,Med,12,SM12,8.8,0.591111111,13.33333333,36.66666667,50
3High1SH1,3,High,1,SH1,6.1,0.586666667,33.33333333,40,26.66666667
3High2SH2,3,High,2,SH2,8.1,0.406666667,16.66666667,46.66666667,36.66666667
3High3SH3,3,High,3,SH3,7.9,0.416666667,26.66666667,26.66666667,46.66666667
3High4SH4,3,High,4,SH4,7,0.638333333,26.66666667,50,23.33333333
3High5SH5,3,High,5,SH5,7.4,0.645,26.66666667,50,23.33333333
3High6SH6,3,High,6,SH6,7.2,0.693333333,40,40,20
3High7SH7,3,High,7,SH7,7.6,0.671666667,20,40,40
3High8SH8,3,High,8,SH8,7.9,0.683333333,16.66666667,40,43.33333333
3High9SH9,3,High,9,SH9,7.5,0.675555556,23.33333333,20,56.66666667
3High10SH10,3,High,10,SH10,7,0.653333333,23.33333333,36.66666667,40
3High11SH11,3,High,11,SH11,9,0.63,36.66666667,26.66666667,36.66666667
3High12SH12,3,High,12,SH12,8.8,0.57,23.33333333,40,36.66666667
4Removal1SR1,4,Removal,1,SR1,7.5,0.593333333,3.333333333,40,56.66666667
4Removal2SR2,4,Removal,2,SR2,7,0.620555556,3.333333333,33.33333333,63.33333333
4Removal3SR3,4,Removal,3,SR3,8.1,0.601111111,10,46.66666667,43.33333333
4Removal4SR4,4,Removal,4,SR4,8.9,0.590555556,10,63.33333333,26.66666667
4Removal5SR5,4,Removal,5,SR5,8.2,0.595555556,10,23.33333333,66.66666667
4Removal6SR6,4,Removal,6,SR6,9,0.651111111,26.66666667,43.33333333,30
4Removal7SR7,4,Removal,7,SR7,6.7,0.637777778,10,26.66666667,63.33333333
4Removal8SR8,4,Removal,8,SR8,8.3,0.623333333,6.666666667,30,63.33333333
4Removal9SR9,4,Removal,9,SR9,8.1,0.648888889,13.33333333,53.33333333,33.33333333
4Removal10SR10,4,Removal,10,SR10,7.7,0.577222222,10,16.66666667,73.33333333
4Removal11SR11,4,Removal,11,SR11,9,0.559444444,6.666666667,63.33333333,30
4Removal12SR12,4,Removal,12,SR12,8.6,0.55,6.666666667,70,23.33333333
4Low1SC1,4,Low,1,SC1,6.2,0.544444444,3.333333333,60,36.66666667
4Low2SC2,4,Low,2,SC2,6.5,0.647222222,3.333333333,50,46.66666667
4Low3SC3,4,Low,3,SC3,7.3,0.698888889,3.333333333,70,26.66666667
4Low4SC4,4,Low,4,SC4,8.4,0.668333333,13.33333333,53.33333333,33.33333333
4Low5SC5,4,Low,5,SC5,7.8,0.741666667,0,70,30
4Low6SC6,4,Low,6,SC6,8.6,0.756111111,10,70,20
4Low7SC7,4,Low,7,SC7,7.9,0.752777778,6.666666667,60,33.33333333
4Low8SC8,4,Low,8,SC8,6.5,0.727777778,3.333333333,46.66666667,50
4Low9SC9,4,Low,9,SC9,7.6,0.664444444,0,46.66666667,50
4Low10SC10,4,Low,10,SC10,7.5,0.693333333,6.666666667,53.33333333,40
4Low11SC11,4,Low,11,SC11,7.8,0.722222222,6.666666667,56.66666667,36.66666667
4Low12SC12,4,Low,12,SC12,9,0.631666667,3.333333333,70,26.66666667
4Med1SM1,4,Med,1,SM1,7.8,0.471666667,6.666666667,36.66666667,56.66666667
4Med2SM2,4,Med,2,SM2,5.8,0.563888889,16.66666667,56.66666667,26.66666667
4Med3SM3,4,Med,3,SM3,7.5,0.628888889,20,46.66666667,33.33333333
4Med4SM4,4,Med,4,SM4,7.5,0.545,6.666666667,50,43.33333333
4Med5SM5,4,Med,5,SM5,6.6,0.560555556,3.333333333,50,46.66666667
4Med6SM6,4,Med,6,SM6,8.5,0.608888889,16.66666667,36.66666667,46.66666667
4Med7SM7,4,Med,7,SM7,8.8,0.62,16.66666667,66.66666667,16.66666667
4Med8SM8,4,Med,8,SM8,9.5,0.634444444,6.666666667,50,43.33333333
4Med9SM9,4,Med,9,SM9,8.8,0.654444444,10,50,40
4Med10SM10,4,Med,10,SM10,6.2,0.693888889,6.666666667,43.33333333,50
4Med11SM11,4,Med,11,SM11,8.8,0.647222222,30,33.33333333,36.66666667
4Med12SM12,4,Med,12,SM12,8.8,0.51,16.66666667,53.33333333,30
4High1SH1,4,High,1,SH1,6.1,0.542222222,13.33333333,50,36.66666667
4High2SH2,4,High,2,SH2,8.1,0.568333333,13.33333333,46.66666667,40
4High3SH3,4,High,3,SH3,7.9,0.562222222,20,36.66666667,43.33333333
4High4SH4,4,High,4,SH4,7,0.569444444,26.66666667,40,33.33333333
4High5SH5,4,High,5,SH5,7.4,0.548888889,23.33333333,56.66666667,20
4High6SH6,4,High,6,SH6,7.2,0.572777778,60,26.66666667,13.33333333
4High7SH7,4,High,7,SH7,7.6,0.678333333,13.33333333,60,26.66666667
4High8SH8,4,High,8,SH8,7.9,0.702222222,20,36.66666667,43.33333333
4High9SH9,4,High,9,SH9,7.5,0.648333333,36.66666667,26.66666667,36.66666667
4High10SH10,4,High,10,SH10,7,0.623333333,23.33333333,36.66666667,40
4High11SH11,4,High,11,SH11,9,0.61,26.66666667,30,43.33333333
4High12SH12,4,High,12,SH12,8.8,0.587222222,23.33333333,26.66666667,50
5Removal1SR1,5,Removal,1,SR1,7.5,0.593333333,3.333333333,40,56.66666667
5Removal2SR2,5,Removal,2,SR2,7,0.620555556,3.333333333,33.33333333,63.33333333
5Removal3SR3,5,Removal,3,SR3,8.1,0.601111111,10,46.66666667,43.33333333
5Removal4SR4,5,Removal,4,SR4,8.9,0.590555556,10,63.33333333,26.66666667
5Removal5SR5,5,Removal,5,SR5,8.2,0.595555556,10,23.33333333,66.66666667
5Removal6SR6,5,Removal,6,SR6,9,0.651111111,26.66666667,43.33333333,30
5Removal7SR7,5,Removal,7,SR7,6.7,0.637777778,10,26.66666667,63.33333333
5Removal8SR8,5,Removal,8,SR8,8.3,0.623333333,6.666666667,30,63.33333333
5Removal9SR9,5,Removal,9,SR9,8.1,0.648888889,13.33333333,53.33333333,33.33333333
5Removal10SR10,5,Removal,10,SR10,7.7,0.577222222,10,16.66666667,73.33333333
5Removal11SR11,5,Removal,11,SR11,9,0.559444444,6.666666667,63.33333333,30
5Removal12SR12,5,Removal,12,SR12,8.6,0.55,6.666666667,70,23.33333333
